ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	mut_prob	flip_prob	mut_rate	v_max	v_min	Activity	Velocity_mag	Flag	Distance
0	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.79 0.03 0.03 0.03 0.03 0.03 0.03 0.03]	[-0.187  0.027  0.027  0.027  0.027  0.027  0.027  0.027]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.4429187652207028	0.2	False	0.569
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.03 0.79 0.03 0.03 0.03 0.03 0.03 0.03]	[ 0.027 -0.187  0.027  0.027  0.027  0.027  0.027  0.027]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.20560014505118765	0.2	False	0.689
2	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.03 0.03 0.79 0.03 0.03 0.03 0.03 0.03]	[ 0.027  0.027 -0.187  0.027  0.027  0.027  0.027  0.027]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.2149894158498778	0.2	False	0.632
3	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.03 0.03 0.03 0.79 0.03 0.03 0.03 0.03]	[ 0.027  0.027  0.027 -0.187  0.027  0.027  0.027  0.027]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.12265296114671781	0.2	False	0.925
4	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.03 0.03 0.03 0.03 0.79 0.03 0.03 0.03]	[ 0.027  0.027  0.027  0.027 -0.187  0.027  0.027  0.027]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.2961943697576309	0.2	False	0.925
5	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.03 0.03 0.03 0.03 0.03 0.79 0.03 0.03]	[ 0.027  0.027  0.027  0.027  0.027 -0.187  0.027  0.027]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.3414716944973704	0.2	False	0.925
6	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.03 0.03 0.03 0.03 0.03 0.03 0.79 0.03]	[ 0.027  0.027  0.027  0.027  0.027  0.027 -0.187  0.027]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.3145140039050876	0.2	False	0.925
7	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	0	[0.03 0.03 0.03 0.03 0.03 0.03 0.03 0.79]	[ 0.027  0.027  0.027  0.027  0.027  0.027  0.027 -0.187]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.32838217395326336	0.2	False	0.839
0	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.856 0.001 0.001 0.137 0.001 0.001 0.002 0.   ]	[ 0.08  -0.038 -0.038  0.156 -0.038 -0.038 -0.043 -0.04 ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.39777230913196016	0.2	False	0.66
1	['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	1	[0.179 0.66  0.032 0.002 0.032 0.032 0.033 0.031]	[ 0.149 -0.13   0.002 -0.028  0.002  0.002  0.003  0.001]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2		0.3680007569737521	0.2	False	0.526
