ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	mut_prob	flip_prob	mut_rate	v_max	Activity	Distance	v_min
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.8  0.05 0.05 0.05 0.05]	[-0.179  0.045  0.045  0.045  0.045]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.04718687326970261	1.034	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.8  0.05 0.05 0.05]	[ 0.045 -0.179  0.045  0.045  0.045]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.012897755965668866	1.138	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.8  0.05 0.05]	[ 0.045  0.045 -0.179  0.045  0.045]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.12550960571923736	0.141	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.05 0.8  0.05]	[ 0.045  0.045  0.045 -0.179  0.045]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.06781611567278917	1.138	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	0	[0.05 0.05 0.05 0.05 0.8 ]	[ 0.045  0.045  0.045  0.045 -0.179]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.0009547274717013111	1.138	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.749 0.007 0.145 0.007 0.092]	[-0.08  -0.07   0.109 -0.07   0.11 ]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.05061249451068306	0.93	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.007 0.749 0.145 0.007 0.092]	[-0.07  -0.08   0.109 -0.07   0.11 ]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.007612225552760489	1.043	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.005 0.005 0.889 0.005 0.096]	[-0.073 -0.073  0.104 -0.073  0.116]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.10917972776004889	0.178	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.003 0.009 0.147 0.75  0.091]	[-0.075 -0.067  0.11  -0.077  0.109]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.0708044836073624	1.042	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	1	[0.052 0.052 0.188 0.052 0.656]	[ 0.002  0.002  0.138  0.002 -0.145]	0.43	0.02	0.07	1.18	1.97	1.09	0.22	0.11	0.13	0.04	0.2	0.022301901813633628	0.94	0.071
